knobs,lb,hb,unit
read_buffer_size,1,32,8196
query_alloc_block_size,1,131071,1024
bulk_insert_buffer_size,10,1000,1024
default_week_format,0,7,1
div_precision_increment,0,30,1
eq_range_index_dive_limit,0,100000000,1
lock_wait_timeout,1,31536000,1
long_query_time,0,1000,1
max_error_count,0,65535,1
max_heap_table_size,2,429496,16384
max_length_for_sort_data,4,8388,1024
max_points_in_geometry,3,1048576,1
max_sort_length,4,8388,1024
max_sp_recursion_depth,0,25,1
min_examined_row_limit,0,42949672,1
net_read_timeout,1,50,1
net_retry_count,1,42949672,1
net_write_timeout,1,200,1
optimizer_prune_level,0,1,1
optimizer_search_depth,0,62,1
optimizer_trace_limit,1,100,1
optimizer_trace_max_mem_size,1,104857600,1
preload_buffer_size,1,1048576,1024
query_prealloc_size,8,4000000,1024
range_alloc_block_size,2,4000000,1024
range_optimizer_max_mem_size,0,42949672,1
read_buffer_size,8,2620000,8196
read_rnd_buffer_size,1,214748364,1
sort_buffer_size,1,131071,32768
tmp_table_size,1,4000000,1024
transaction_alloc_block_size,1,128,1024
transaction_prealloc_size,1,128,1024
wait_timeout,1,2147483,1
